full_name,sector,sector,discipline,discipline,discipline,scholarly_approach,scholarly_approach,work_system,work_system,work_system,work_region,work_region,work_region,work_region,work_region,work_region,work_region,work_region,career_stage,gender,ethnicity,ethnicity,first_language,first_language,first_language,professional_language,professional_language,professional_language,professional_language,professional_language
Jimena Torres,University,,Archaeology,,,quantitative,,Marine,,,Latin America,,,,,,,,Mid,Female,Latinx,,Spanish,,,French,,,,
Kartik Shanker,University,,Ecology,,,quantitative,,Marine,Terrestrial,,Asia,,,,,,,,Late,Male,Asian,,English,,,English,,,,
Liqiang Xu,University,,Ecology,Paleoecology,,qualitative,,Marine,Freshwater,,Asia,,,,,,,,Mid,Male,Asian,,Chinese,,,English,Chinese,,,
Miguel Clavero,University,,Ecology,,,quantitative,,Terrestrial,Freshwater,,Europe,,,,,,,,Mid,Male,Latinx,,Spanish,,,English,,,,
Loren McClenachan,University,,Ecology,History,,qualitative,,Marine,,,Caribbean,USA/Canada,,,,,,,Mid,Female,White/Caucasian,,English,,,English,,,,
Eric Higgs,University,,Ecology,,,qualitative,,Terrestrial,,,USA/Canada,,,,,,,,Late,Male,White/Caucasian,,English,,,English,,,,
Nadia Tamara Rubio Cisneros,Non-profit,University,Other,,,qualitative,,Marine,,,Caribbean,,,,,,,,Mid,Female,Latinx,,Spanish,,,English,,,,
Philine S.E. zu Ermgassen,University,,Ecology,History,,quantitative,,Marine,,,Australia/NZ,Europe,USA/Canada,,,,,,Mid,Female,White/Caucasian,,Danish,English,,English,German,,,
Hirokazu Yasuoka,University,,Anthropology,Ecology,,quantitative,,Terrestrial,,,Africa,,,,,,,,Mid,Male,Asian,,Japanese,,,English,,,,
Naia Morueta-Holme,University,,Ecology,,,quantitative,,Terrestrial,,,Europe,Latin America,USA/Canada,,,,,,Mid,Female,White/Caucasian,,Spanish,Danish,Catalan,English,Danish,Spanish,French,
Graciela Gil-Romera,University,,Ecology,Paleoecology,,quantitative,,Terrestrial,,,Africa,,,,,,,,Mid,Female,Latinx,White/Caucasian,Spanish,,,English,,,,
